custid	dob	gender	card	card_date	month	quarter	year	type	item	spent
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	2	4	3	473.05
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	2	5	1	76.46
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	1	1	5	305.43
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	1	2	4	308.41
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	1	3	1	98.79
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	1	4	1	196.49
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	1	5	2	187.54
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	2	1	3	235.42
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	2	2	4	204.89
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	2	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	2	4	2	350.63
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	4	2	2	5	2	106.34
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	1	1	5	298.58
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	1	2	6	294.77
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	1	3	1	78.22
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	1	4	4	655.2
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	1	5	7	572.46
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	2	1	2	151.61
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	2	2	6	552.88
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	2	3	1	52.56
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	2	4	3	357.39
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	5	2	2	5	7	377.13
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	1	1	3	139.35
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	1	2	9	633.2
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	1	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	1	4	5	830.88
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	1	5	5	383.33
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	2	1	4	294.19
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	2	2	9	737.09
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	2	3	1	58.38
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	2	4	3	480.13
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	6	2	2	5	3	265.7
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	1	1	5	364.21
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	1	2	10	615.07
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	1	3	2	109.75
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	1	4	1	148.37
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	1	5	6	431.91
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	2	1	1	57.13
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	2	2	4	197.21
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	2	3	1	109.59
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	2	4	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	7	3	2	5	6	349.43
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	1	1	4	183.35
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	1	2	10	821.4
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	1	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	1	4	2	345.04
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	1	5	5	412.29
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	2	1	5	330.98
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	2	2	9	639.37
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	2	3	1	57.57
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	2	4	2	257.22
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	8	3	2	5	1	52.61
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	1	1	1	57.02
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	1	2	3	198.96
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	1	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	1	4	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	1	5	3	288.17
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	2	1	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	2	2	9	843.43
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	2	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	2	4	5	593.94
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	9	3	2	5	6	368.46
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	1	1	4	183.07
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	1	2	8	723.29
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	1	3	1	124.32
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	1	4	2	306.48
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	1	5	5	320.38
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	2	1	4	214.64
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	2	2	6	279.53
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	2	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	2	4	2	287.02
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	10	4	2	5	4	362.41
